Player,Nation,Team,Pos,Age,MP,Starts,Min,Goals,Assists,Yellow_Card,Red_Card,stand_xG,xAG,PrgC,PrgP,PrgR,Gls,Ast,xG,xGA,GA90,Save%,CS%,PKsv%,SoT%,SoT/90,G/Sh,Dist,Cmp,Cmp%,TotDist,Short_Cmp%,Medium_Cmp%,KP,1/3,PPA,CrsPA,PrgP_passing,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att,Lost,Blocks,Sh,Pass,Int,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Att_take_ons,Succ%,Tkld%,Carries,ProDist,ProgC,1/3_carries,CPA,Mis,Dis,Rec,PrgR_possession,Fls,Fld,Off,Crs,Recov,Won,Won%,Available_Data_Count,ETV
Jørgen Strand Larsen,no NOR,Wolves,FW,25-082,32.0,29.0,2463.0,13.0,2.0,4.0,0.0,10.0,2.4,16.0,28.0,106.0,0.48,0.07,0.37,0.09,N/a,N/a,N/a,N/a,60.4,1.17,0.25,11.4,431.0,63.1,3547.0,70.5,63.2,19.0,18.0,4.0,1.0,28.0,40.0,1.46,5.0,0.18,9.0,6.0,27.0,96.0,18.0,4.0,14.0,5.0,695.0,34.0,83.0,329.0,284.0,104.0,17.0,41.2,58.8,328.0,446.0,16.0,13.0,9.0,88.0,32.0,507.0,106.0,46.0,18.0,14.0,6.0,42.0,66.0,40.7,72,€30.8M
Kai Havertz,de GER,Arsenal,"FW,MF",25-322,21.0,21.0,1839.0,9.0,3.0,4.0,0.0,9.4,2.4,34.0,59.0,110.0,0.44,0.15,0.46,0.12,N/a,N/a,N/a,N/a,40.4,1.03,0.17,11.7,511.0,78.5,4833.0,84.1,82.5,16.0,26.0,8.0,1.0,59.0,41.0,2.01,3.0,0.15,16.0,9.0,15.0,73.0,22.0,4.0,18.0,6.0,768.0,31.0,88.0,282.0,403.0,103.0,38.0,23.7,63.2,411.0,922.0,34.0,23.0,18.0,42.0,22.0,575.0,110.0,36.0,21.0,14.0,11.0,39.0,62.0,45.9,72,€70.5M
Kalvin Phillips,eng ENG,Ipswich Town,MF,29-148,18.0,14.0,1214.0,0.0,0.0,6.0,1.0,0.4,0.2,4.0,49.0,4.0,0.0,0.0,0.03,0.02,N/a,N/a,N/a,N/a,20.0,0.15,0.0,24.2,537.0,79.3,8392.0,82.9,86.6,5.0,48.0,6.0,1.0,49.0,17.0,1.26,3.0,0.22,34.0,19.0,38.0,21.0,35.0,6.0,29.0,19.0,722.0,60.0,220.0,388.0,118.0,4.0,12.0,41.7,50.0,302.0,541.0,4.0,5.0,0.0,24.0,10.0,383.0,4.0,28.0,19.0,0.0,18.0,68.0,7.0,25.0,72,€17.2M
Kamaldeen Sulemana,gh GHA,Southampton,"FW,MF",23-073,22.0,13.0,1122.0,1.0,1.0,1.0,0.0,1.3,0.7,56.0,25.0,72.0,0.08,0.08,0.11,0.06,N/a,N/a,N/a,N/a,32.0,0.64,0.04,18.5,297.0,79.1,3417.0,89.7,81.6,9.0,6.0,11.0,6.0,25.0,27.0,2.17,3.0,0.24,16.0,14.0,13.0,20.0,9.0,0.0,9.0,6.0,483.0,13.0,64.0,178.0,259.0,48.0,91.0,36.3,54.9,313.0,1369.0,56.0,34.0,23.0,37.0,22.0,338.0,72.0,18.0,10.0,2.0,24.0,51.0,8.0,28.6,72,€18.5M
Kaoru Mitoma,jp JPN,Brighton,"FW,MF",27-344,33.0,28.0,2521.0,9.0,3.0,1.0,0.0,8.8,4.4,138.0,82.0,277.0,0.32,0.11,0.31,0.16,N/a,N/a,N/a,N/a,46.3,0.89,0.17,13.9,931.0,75.3,9130.0,86.9,70.5,35.0,34.0,32.0,8.0,82.0,83.0,2.96,8.0,0.29,43.0,26.0,46.0,27.0,46.0,3.0,43.0,13.0,1300.0,15.0,149.0,445.0,734.0,156.0,127.0,38.6,57.5,786.0,3663.0,138.0,76.0,55.0,49.0,22.0,911.0,277.0,39.0,23.0,5.0,72.0,92.0,24.0,47.1,72,€50.6M
Keane Lewis-Potter,eng ENG,Brentford,"DF,FW",24-066,33.0,31.0,2714.0,1.0,3.0,5.0,0.0,2.6,3.0,92.0,88.0,143.0,0.03,0.1,0.08,0.1,N/a,N/a,N/a,N/a,51.9,0.46,0.04,20.5,1112.0,77.2,14139.0,89.4,79.0,22.0,56.0,40.0,14.0,88.0,65.0,2.16,8.0,0.27,44.0,26.0,42.0,33.0,24.0,9.0,15.0,19.0,1414.0,93.0,430.0,542.0,460.0,69.0,94.0,40.4,50.0,747.0,2921.0,92.0,61.0,34.0,42.0,18.0,835.0,143.0,14.0,27.0,4.0,67.0,131.0,26.0,44.1,72,€27.1M
Kenny Tete,nl NED,Fulham,DF,29-202,18.0,17.0,1438.0,0.0,2.0,3.0,0.0,1.2,0.9,33.0,46.0,45.0,0.0,0.13,0.08,0.05,N/a,N/a,N/a,N/a,9.1,0.13,0.0,16.1,794.0,81.2,10261.0,91.7,80.0,7.0,56.0,7.0,5.0,46.0,30.0,1.88,3.0,0.19,49.0,34.0,32.0,12.0,20.0,6.0,14.0,28.0,997.0,57.0,320.0,407.0,278.0,32.0,19.0,42.1,31.6,520.0,1210.0,33.0,20.0,7.0,16.0,10.0,575.0,45.0,25.0,14.0,0.0,26.0,61.0,18.0,60.0,72,€14M
Kepa Arrizabalaga,es ESP,Bournemouth,GK,30-208,27.0,27.0,2430.0,0.0,0.0,3.0,0.0,0.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.26,75.4,25.9,0.0,0.0,0.0,0.0,9.7,889.0,71.5,17590.0,98.0,98.2,1.0,9.0,0.0,0.0,2.0,4.0,0.15,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,945.0,695.0,918.0,26.0,1.0,1.0,1.0,100.0,0.0,534.0,1529.0,0.0,0.0,0.0,0.0,0.0,413.0,0.0,2.0,5.0,0.0,0.0,48.0,7.0,87.5,76,€12M
Kevin De Bruyne,be BEL,Manchester City,"MF,FW",33-305,24.0,16.0,1455.0,3.0,7.0,2.0,0.0,3.4,7.6,47.0,128.0,132.0,0.19,0.43,0.21,0.47,N/a,N/a,N/a,N/a,27.1,0.8,0.06,21.9,1000.0,75.6,12912.0,85.1,76.7,51.0,75.0,48.0,10.0,128.0,101.0,6.24,11.0,0.68,15.0,8.0,21.0,14.0,8.0,0.0,8.0,7.0,1153.0,10.0,70.0,391.0,702.0,66.0,30.0,40.0,46.7,677.0,1825.0,47.0,43.0,18.0,24.0,25.0,862.0,132.0,14.0,16.0,5.0,115.0,53.0,4.0,22.2,72,€20.1M
Kevin Schade,de GER,Brentford,FW,23-153,33.0,21.0,1931.0,7.0,2.0,3.0,0.0,6.2,3.3,54.0,32.0,139.0,0.33,0.09,0.29,0.16,N/a,N/a,N/a,N/a,42.2,0.89,0.16,11.9,475.0,58.7,4339.0,69.2,60.1,19.0,29.0,9.0,3.0,32.0,46.0,2.15,8.0,0.37,34.0,23.0,20.0,62.0,14.0,2.0,12.0,5.0,757.0,37.0,124.0,209.0,439.0,121.0,75.0,34.7,57.3,382.0,1236.0,54.0,26.0,33.0,48.0,33.0,468.0,139.0,19.0,31.0,13.0,36.0,71.0,75.0,54.7,72,€29.7M
Kieran Trippier,eng ENG,Newcastle Utd,DF,34-222,23.0,13.0,1192.0,0.0,3.0,1.0,0.0,0.1,1.3,25.0,106.0,52.0,0.0,0.23,0.01,0.1,N/a,N/a,N/a,N/a,0.0,0.0,0.0,22.2,1147.0,82.1,16029.0,94.1,85.4,19.0,65.0,17.0,2.0,106.0,49.0,3.7,6.0,0.45,36.0,19.0,34.0,14.0,9.0,3.0,6.0,11.0,1267.0,45.0,354.0,550.0,371.0,12.0,7.0,57.1,42.9,562.0,1139.0,25.0,13.0,4.0,11.0,7.0,780.0,52.0,16.0,10.0,2.0,74.0,61.0,19.0,57.6,72,€5.1M
Kobbie Mainoo,eng ENG,Manchester Utd,MF,20-010,21.0,17.0,1416.0,0.0,0.0,5.0,0.0,0.6,1.6,21.0,56.0,38.0,0.0,0.0,0.04,0.1,N/a,N/a,N/a,N/a,15.4,0.13,0.0,20.8,728.0,86.1,8304.0,91.9,87.7,14.0,45.0,9.0,0.0,56.0,29.0,1.84,1.0,0.06,39.0,24.0,34.0,27.0,16.0,2.0,14.0,19.0,924.0,19.0,175.0,523.0,235.0,32.0,46.0,50.0,45.7,568.0,1089.0,21.0,14.0,10.0,30.0,32.0,656.0,38.0,26.0,19.0,2.0,4.0,77.0,18.0,40.0,72,€66M
Konstantinos Mavropanos,gr GRE,West Ham,DF,27-139,30.0,20.0,1944.0,0.0,0.0,6.0,1.0,1.5,0.5,16.0,60.0,2.0,0.0,0.0,0.07,0.02,N/a,N/a,N/a,N/a,27.8,0.23,0.0,14.8,1176.0,85.9,19926.0,91.2,92.3,5.0,60.0,4.0,1.0,60.0,16.0,0.74,0.0,0.0,32.0,22.0,25.0,24.0,23.0,17.0,6.0,38.0,1428.0,221.0,743.0,631.0,62.0,24.0,17.0,52.9,29.4,792.0,2123.0,16.0,10.0,1.0,12.0,0.0,934.0,2.0,17.0,14.0,3.0,2.0,67.0,56.0,70.0,72,€19.1M
Kristoffer Ajer,no NOR,Brentford,DF,27-012,20.0,17.0,1388.0,0.0,0.0,4.0,0.0,0.8,1.2,27.0,52.0,42.0,0.0,0.0,0.05,0.08,N/a,N/a,N/a,N/a,37.5,0.19,0.0,10.2,616.0,78.2,7521.0,86.8,79.7,8.0,41.0,7.0,4.0,52.0,18.0,1.17,2.0,0.13,24.0,16.0,26.0,22.0,17.0,4.0,13.0,12.0,762.0,51.0,255.0,355.0,158.0,35.0,16.0,43.8,50.0,373.0,1164.0,27.0,11.0,2.0,15.0,12.0,475.0,42.0,11.0,6.0,1.0,14.0,41.0,27.0,55.1,72,€21.5M
Kyle Walker,eng ENG,Manchester City,DF,34-336,15.0,9.0,970.0,0.0,0.0,3.0,0.0,0.1,0.4,12.0,64.0,11.0,0.0,0.0,0.01,0.04,N/a,N/a,N/a,N/a,40.0,0.19,0.0,27.7,826.0,87.7,11928.0,94.6,91.3,7.0,63.0,7.0,4.0,64.0,17.0,1.58,0.0,0.0,17.0,10.0,26.0,7.0,13.0,4.0,9.0,3.0,892.0,26.0,197.0,473.0,228.0,5.0,6.0,50.0,33.3,499.0,1106.0,12.0,13.0,0.0,9.0,2.0,630.0,11.0,6.0,5.0,1.0,14.0,46.0,9.0,56.3,72,€4.9M
Kyle Walker-Peters,eng ENG,Southampton,DF,28-016,32.0,32.0,2828.0,0.0,2.0,5.0,0.0,0.8,2.7,112.0,134.0,139.0,0.0,0.06,0.03,0.09,N/a,N/a,N/a,N/a,30.0,0.19,0.0,18.3,1647.0,88.0,21806.0,93.8,89.7,23.0,117.0,29.0,4.0,134.0,62.0,1.97,7.0,0.22,43.0,28.0,34.0,21.0,25.0,14.0,11.0,18.0,1970.0,149.0,603.0,854.0,529.0,58.0,90.0,41.1,43.3,1228.0,4264.0,112.0,69.0,23.0,32.0,38.0,1391.0,139.0,28.0,49.0,2.0,51.0,130.0,11.0,34.4,72,€16.6M
Leandro Trossard,be BEL,Arsenal,FW,30-146,34.0,25.0,2264.0,8.0,5.0,4.0,1.0,6.6,5.1,71.0,91.0,202.0,0.32,0.2,0.26,0.2,N/a,N/a,N/a,N/a,30.3,0.8,0.12,16.0,837.0,73.6,10098.0,84.8,76.0,36.0,40.0,41.0,9.0,91.0,78.0,3.1,6.0,0.24,25.0,16.0,31.0,21.0,28.0,0.0,28.0,9.0,1118.0,15.0,117.0,350.0,667.0,137.0,70.0,41.4,44.3,710.0,1879.0,71.0,47.0,27.0,53.0,42.0,836.0,202.0,24.0,41.0,5.0,78.0,90.0,6.0,22.2,72,€31.8M
Leif Davis,eng ENG,Ipswich Town,DF,25-107,31.0,30.0,2563.0,1.0,2.0,5.0,1.0,0.9,4.3,48.0,55.0,117.0,0.04,0.07,0.03,0.15,N/a,N/a,N/a,N/a,14.3,0.07,0.07,20.4,1194.0,71.5,14708.0,86.0,77.4,54.0,30.0,26.0,11.0,55.0,85.0,2.98,4.0,0.14,45.0,26.0,46.0,22.0,24.0,8.0,16.0,25.0,1459.0,115.0,517.0,484.0,477.0,36.0,37.0,35.1,45.9,659.0,1940.0,48.0,27.0,10.0,36.0,14.0,770.0,117.0,25.0,30.0,3.0,148.0,111.0,33.0,60.0,72,€28.2M
Leny Yoro,fr FRA,Manchester Utd,DF,19-167,19.0,11.0,1069.0,0.0,0.0,5.0,0.0,0.7,0.0,19.0,48.0,4.0,0.0,0.0,0.06,0.0,N/a,N/a,N/a,N/a,20.0,0.08,0.0,8.6,696.0,92.2,10301.0,95.5,93.9,1.0,43.0,4.0,1.0,48.0,7.0,0.59,0.0,0.0,25.0,10.0,17.0,15.0,5.0,3.0,2.0,17.0,814.0,80.0,378.0,377.0,61.0,13.0,3.0,33.3,66.7,553.0,1557.0,19.0,11.0,1.0,3.0,2.0,588.0,4.0,9.0,2.0,1.0,1.0,41.0,16.0,51.6,72,€71M
Leon Bailey,jm JAM,Aston Villa,"FW,MF",27-263,23.0,14.0,1138.0,1.0,2.0,3.0,0.0,1.7,1.5,57.0,35.0,121.0,0.08,0.16,0.14,0.12,N/a,N/a,N/a,N/a,21.4,0.47,0.04,17.3,386.0,70.7,4275.0,81.4,81.1,16.0,16.0,20.0,2.0,35.0,38.0,3.01,4.0,0.32,6.0,4.0,10.0,9.0,6.0,0.0,6.0,3.0,539.0,18.0,76.0,155.0,318.0,69.0,57.0,38.6,42.1,344.0,1334.0,57.0,22.0,33.0,35.0,25.0,386.0,121.0,12.0,18.0,3.0,34.0,59.0,6.0,40.0,72,€39.2M
Lesley Ugochukwu,fr FRA,Southampton,MF,21-034,23.0,15.0,1447.0,1.0,1.0,5.0,0.0,0.8,1.0,27.0,48.0,20.0,0.06,0.06,0.05,0.06,N/a,N/a,N/a,N/a,11.1,0.06,0.11,18.4,634.0,84.5,8330.0,87.5,91.9,14.0,50.0,6.0,1.0,48.0,23.0,1.43,1.0,0.06,46.0,22.0,32.0,17.0,25.0,9.0,16.0,12.0,793.0,45.0,191.0,446.0,162.0,23.0,26.0,69.2,26.9,431.0,1122.0,27.0,14.0,6.0,12.0,10.0,538.0,20.0,26.0,14.0,0.0,6.0,59.0,18.0,51.4,72,€27M
Levi Colwill,eng ENG,Chelsea,DF,22-062,31.0,31.0,2789.0,1.0,1.0,8.0,0.0,1.3,1.1,13.0,124.0,11.0,0.03,0.03,0.04,0.04,N/a,N/a,N/a,N/a,18.8,0.1,0.06,9.9,2418.0,89.6,39487.0,92.7,95.3,14.0,144.0,7.0,3.0,124.0,37.0,1.19,3.0,0.1,40.0,28.0,25.0,51.0,34.0,24.0,10.0,31.0,2669.0,330.0,1241.0,1310.0,128.0,35.0,10.0,60.0,40.0,1526.0,3857.0,13.0,11.0,1.0,13.0,8.0,1964.0,11.0,42.0,18.0,4.0,13.0,108.0,76.0,59.8,72,€56.6M
Lewis Cook,eng ENG,Bournemouth,"MF,DF",28-085,33.0,29.0,2726.0,1.0,3.0,8.0,0.0,0.9,4.1,33.0,152.0,48.0,0.03,0.1,0.03,0.14,N/a,N/a,N/a,N/a,28.6,0.13,0.07,23.4,1478.0,76.5,19703.0,84.6,84.8,47.0,149.0,25.0,10.0,152.0,86.0,2.84,5.0,0.17,77.0,41.0,65.0,34.0,28.0,10.0,18.0,40.0,1776.0,82.0,416.0,930.0,449.0,19.0,17.0,58.8,41.2,779.0,2102.0,33.0,28.0,4.0,29.0,16.0,888.0,48.0,46.0,10.0,3.0,126.0,178.0,40.0,54.1,72,€19.3M
Lewis Dunk,eng ENG,Brighton,DF,33-159,24.0,22.0,1993.0,0.0,0.0,5.0,0.0,0.8,0.5,20.0,142.0,3.0,0.0,0.0,0.04,0.02,N/a,N/a,N/a,N/a,25.0,0.14,0.0,12.1,1897.0,90.9,32037.0,96.2,95.1,6.0,154.0,6.0,0.0,142.0,19.0,0.86,3.0,0.14,17.0,10.0,19.0,30.0,26.0,17.0,9.0,12.0,2062.0,245.0,966.0,994.0,112.0,21.0,1.0,0.0,100.0,1302.0,3247.0,20.0,18.0,0.0,8.0,3.0,1509.0,3.0,7.0,10.0,2.0,5.0,102.0,49.0,62.0,72,€7.4M
Lewis Hall,eng ENG,Newcastle Utd,DF,20-233,27.0,24.0,2189.0,0.0,4.0,3.0,0.0,0.4,4.3,41.0,123.0,80.0,0.0,0.16,0.02,0.18,N/a,N/a,N/a,N/a,9.1,0.04,0.0,18.8,1592.0,81.7,21999.0,91.3,85.1,34.0,114.0,17.0,5.0,123.0,63.0,2.59,6.0,0.25,58.0,41.0,74.0,31.0,33.0,18.0,15.0,18.0,1820.0,95.0,623.0,804.0,414.0,47.0,21.0,52.4,33.3,950.0,2358.0,41.0,22.0,13.0,33.0,20.0,1094.0,80.0,9.0,21.0,1.0,110.0,119.0,30.0,49.2,72,€34.5M
Liam Delap,eng ENG,Ipswich Town,FW,22-080,33.0,30.0,2424.0,12.0,2.0,9.0,0.0,9.1,1.9,59.0,30.0,104.0,0.45,0.07,0.34,0.07,N/a,N/a,N/a,N/a,43.5,1.0,0.16,15.9,341.0,61.0,2873.0,70.3,63.1,20.0,16.0,6.0,0.0,30.0,60.0,2.23,7.0,0.26,10.0,7.0,14.0,67.0,8.0,0.0,8.0,2.0,647.0,29.0,78.0,270.0,320.0,87.0,82.0,46.3,42.7,424.0,1511.0,59.0,45.0,28.0,96.0,55.0,507.0,104.0,65.0,48.0,13.0,5.0,64.0,52.0,43.7,72,€37M
Lisandro Martínez,ar ARG,Manchester Utd,DF,27-101,20.0,20.0,1751.0,2.0,1.0,7.0,0.0,1.3,1.1,23.0,117.0,7.0,0.1,0.05,0.07,0.06,N/a,N/a,N/a,N/a,35.3,0.31,0.12,15.9,1342.0,89.4,20292.0,94.2,93.0,9.0,91.0,18.0,2.0,117.0,26.0,1.34,2.0,0.1,40.0,24.0,36.0,13.0,22.0,8.0,14.0,32.0,1524.0,156.0,713.0,697.0,125.0,18.0,7.0,85.7,14.3,1017.0,3129.0,23.0,23.0,2.0,1.0,3.0,1069.0,7.0,22.0,7.0,0.0,9.0,81.0,16.0,55.2,72,€49.2M
Lucas Bergvall,se SWE,Tottenham,MF,19-086,27.0,11.0,1212.0,0.0,1.0,3.0,0.0,0.7,0.6,33.0,49.0,31.0,0.0,0.07,0.05,0.04,N/a,N/a,N/a,N/a,16.7,0.15,0.0,19.9,720.0,87.4,10567.0,91.9,89.8,11.0,53.0,7.0,3.0,49.0,22.0,1.63,4.0,0.3,39.0,19.0,32.0,8.0,18.0,8.0,10.0,24.0,885.0,36.0,188.0,478.0,232.0,22.0,45.0,46.7,44.4,531.0,1634.0,33.0,21.0,4.0,20.0,19.0,586.0,31.0,20.0,17.0,0.0,21.0,73.0,9.0,52.9,72,€32.6M
Lucas Digne,fr FRA,Aston Villa,DF,31-283,30.0,27.0,2241.0,0.0,4.0,4.0,0.0,0.8,4.4,23.0,54.0,140.0,0.0,0.16,0.03,0.17,N/a,N/a,N/a,N/a,23.1,0.12,0.0,22.7,1232.0,75.0,14998.0,88.2,78.6,35.0,43.0,29.0,18.0,54.0,63.0,2.53,5.0,0.2,62.0,36.0,62.0,26.0,23.0,4.0,19.0,25.0,1473.0,90.0,510.0,449.0,524.0,28.0,19.0,47.4,47.4,669.0,1319.0,23.0,14.0,4.0,17.0,15.0,804.0,140.0,20.0,14.0,7.0,138.0,98.0,34.0,56.7,72,€13.6M
Lucas Paquetá,br BRA,West Ham,"MF,FW",27-245,30.0,26.0,2257.0,4.0,0.0,8.0,0.0,5.2,3.0,20.0,140.0,82.0,0.16,0.0,0.21,0.12,N/a,N/a,N/a,N/a,7.9,0.12,0.05,19.6,1353.0,77.4,17297.0,84.0,79.3,35.0,121.0,41.0,4.0,140.0,78.0,3.11,6.0,0.24,63.0,35.0,49.0,57.0,27.0,4.0,23.0,17.0,1672.0,58.0,338.0,919.0,428.0,56.0,42.0,40.5,47.6,862.0,1255.0,20.0,31.0,2.0,51.0,50.0,1181.0,82.0,49.0,57.0,6.0,28.0,140.0,47.0,45.2,72,€71.2M
Luis Díaz,co COL,Liverpool,FW,28-106,33.0,26.0,2225.0,12.0,5.0,2.0,0.0,10.0,4.9,103.0,103.0,269.0,0.49,0.2,0.4,0.2,N/a,N/a,N/a,N/a,41.5,1.09,0.18,13.5,827.0,84.3,11124.0,88.6,86.0,54.0,45.0,43.0,6.0,103.0,116.0,4.69,16.0,0.65,33.0,21.0,34.0,33.0,18.0,0.0,18.0,7.0,1109.0,15.0,78.0,382.0,668.0,155.0,111.0,45.9,43.2,733.0,2803.0,103.0,53.0,55.0,51.0,43.0,878.0,269.0,48.0,30.0,10.0,30.0,98.0,12.0,26.7,72,€71M
Luke Woolfenden,eng ENG,Ipswich Town,DF,26-190,14.0,11.0,1097.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,0.0,0.0,0.0,12.9,513.0,87.7,8278.0,96.6,93.4,0.0,27.0,0.0,0.0,15.0,2.0,0.16,0.0,0.0,9.0,6.0,5.0,12.0,21.0,14.0,7.0,18.0,638.0,139.0,365.0,264.0,9.0,3.0,0.0,N/a,N/a,341.0,1165.0,7.0,3.0,0.0,4.0,0.0,399.0,0.0,5.0,2.0,1.0,0.0,35.0,15.0,55.6,70,€2M
Mads Hermansen,dk DEN,Leicester City,GK,24-292,27.0,27.0,2385.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.19,64.5,3.7,25.0,N/a,0.0,N/a,N/a,1073.0,61.0,17066.0,97.4,94.8,0.0,20.0,1.0,0.0,1.0,3.0,0.11,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1147.0,831.0,1106.0,43.0,0.0,0.0,1.0,100.0,0.0,734.0,1904.0,0.0,0.0,0.0,1.0,0.0,625.0,0.0,0.0,3.0,0.0,0.0,17.0,4.0,80.0,73,€19.8M
Mads Roerslev,dk DEN,Brentford,DF,25-309,19.0,11.0,1101.0,0.0,2.0,2.0,0.0,0.2,3.0,17.0,51.0,54.0,0.0,0.16,0.02,0.24,N/a,N/a,N/a,N/a,40.0,0.16,0.0,20.8,536.0,78.7,6925.0,88.0,79.9,14.0,37.0,11.0,4.0,51.0,21.0,1.72,2.0,0.16,18.0,8.0,28.0,14.0,12.0,5.0,7.0,4.0,645.0,49.0,234.0,268.0,146.0,20.0,19.0,36.8,42.1,352.0,858.0,17.0,13.0,0.0,9.0,6.0,407.0,54.0,6.0,10.0,0.0,31.0,39.0,10.0,41.7,72,€71M
Malo Gusto,fr FRA,Chelsea,DF,21-345,28.0,19.0,1819.0,0.0,1.0,4.0,0.0,1.7,1.2,48.0,118.0,84.0,0.0,0.05,0.08,0.06,N/a,N/a,N/a,N/a,18.2,0.2,0.0,21.3,1352.0,86.4,19089.0,93.1,88.2,20.0,107.0,18.0,6.0,118.0,56.0,2.77,4.0,0.2,43.0,28.0,47.0,15.0,29.0,8.0,21.0,23.0,1553.0,57.0,375.0,752.0,438.0,42.0,15.0,26.7,66.7,861.0,2170.0,48.0,35.0,8.0,16.0,17.0,1047.0,84.0,20.0,18.0,2.0,51.0,114.0,8.0,34.8,72,€32.8M
Manuel Akanji,ch SUI,Manchester City,DF,29-284,22.0,20.0,1711.0,0.0,0.0,3.0,0.0,0.7,0.4,38.0,135.0,6.0,0.0,0.0,0.04,0.02,N/a,N/a,N/a,N/a,10.0,0.05,0.0,16.3,1486.0,93.9,22867.0,95.9,95.5,9.0,150.0,11.0,2.0,135.0,34.0,1.79,2.0,0.11,15.0,10.0,12.0,29.0,11.0,8.0,3.0,7.0,1598.0,108.0,472.0,776.0,352.0,11.0,2.0,100.0,0.0,1044.0,3286.0,38.0,52.0,0.0,4.0,5.0,1264.0,6.0,16.0,9.0,0.0,11.0,86.0,24.0,45.3,72,€42.8M
Manuel Ugarte Ribeiro,uy URU,Manchester Utd,MF,24-018,26.0,20.0,1616.0,1.0,1.0,9.0,0.0,1.0,1.1,12.0,55.0,19.0,0.06,0.06,0.05,0.06,N/a,N/a,N/a,N/a,16.7,0.17,0.06,22.0,817.0,87.5,11713.0,89.2,93.3,9.0,52.0,9.0,3.0,55.0,30.0,1.67,3.0,0.17,70.0,43.0,60.0,18.0,27.0,3.0,24.0,25.0,1047.0,40.0,300.0,575.0,190.0,15.0,31.0,54.8,32.3,599.0,1155.0,12.0,12.0,1.0,29.0,24.0,650.0,19.0,35.0,31.0,0.0,7.0,111.0,17.0,48.6,72,€60.4M
Marc Cucurella,es ESP,Chelsea,DF,26-281,32.0,29.0,2628.0,4.0,1.0,10.0,1.0,2.6,1.9,30.0,104.0,108.0,0.14,0.03,0.09,0.06,N/a,N/a,N/a,N/a,40.9,0.31,0.18,16.5,1738.0,88.0,24117.0,93.9,90.0,18.0,108.0,12.0,3.0,104.0,46.0,1.58,5.0,0.17,58.0,38.0,50.0,51.0,40.0,13.0,27.0,23.0,2014.0,100.0,603.0,933.0,486.0,72.0,13.0,30.8,53.8,864.0,2105.0,30.0,17.0,2.0,26.0,6.0,1259.0,108.0,33.0,32.0,3.0,29.0,110.0,29.0,36.3,72,€39.4M
Marc Guéhi,eng ENG,Crystal Palace,DF,24-290,32.0,32.0,2879.0,3.0,2.0,9.0,1.0,1.9,1.2,22.0,126.0,8.0,0.09,0.06,0.06,0.04,N/a,N/a,N/a,N/a,50.0,0.22,0.21,10.3,1654.0,83.3,26335.0,91.1,88.8,12.0,127.0,11.0,3.0,126.0,38.0,1.19,5.0,0.16,56.0,31.0,45.0,50.0,53.0,22.0,31.0,25.0,1994.0,292.0,987.0,881.0,137.0,31.0,14.0,78.6,14.3,1065.0,2804.0,22.0,17.0,1.0,16.0,16.0,1243.0,8.0,22.0,26.0,1.0,13.0,135.0,66.0,56.9,72,€54.2M
Marcos Senesi,ar ARG,Bournemouth,DF,27-354,15.0,12.0,1014.0,0.0,0.0,5.0,0.0,0.8,0.2,12.0,51.0,5.0,0.0,0.0,0.07,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.0,6.0,644.0,76.6,10211.0,88.0,85.9,3.0,73.0,12.0,3.0,51.0,16.0,1.42,1.0,0.09,35.0,21.0,30.0,27.0,15.0,7.0,8.0,11.0,783.0,67.0,349.0,376.0,67.0,12.0,9.0,55.6,44.4,483.0,1465.0,12.0,14.0,0.0,6.0,5.0,493.0,5.0,19.0,7.0,0.0,10.0,67.0,23.0,46.0,72,€20.4M
Marcus Tavernier,eng ENG,Bournemouth,"FW,MF",26-038,25.0,16.0,1580.0,3.0,5.0,5.0,0.0,5.2,2.8,39.0,99.0,103.0,0.17,0.28,0.3,0.16,N/a,N/a,N/a,N/a,31.3,0.85,0.06,20.5,732.0,72.4,8961.0,85.9,78.2,36.0,61.0,29.0,9.0,99.0,82.0,4.67,10.0,0.57,39.0,23.0,25.0,31.0,15.0,3.0,12.0,4.0,956.0,18.0,108.0,358.0,511.0,49.0,52.0,42.3,51.9,540.0,1569.0,39.0,37.0,7.0,36.0,43.0,612.0,103.0,25.0,20.0,4.0,89.0,96.0,24.0,43.6,72,€24.4M
